,username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
86,ClausWachmann,CIAegis,"It's in Danish, discussing the first coronavirus incident in Denmark. It's not the end of the world, but do take care!",0,0,0,1233242353579831297,https://twitter.com/ClausWachmann/status/1233242353579831297,340225095,2020-02-28 04:07:44+00:00,Fri Feb 28 04:07:44 +0000 2020,,,,
87,IbsenMalte,,The extent to which Trump’s #coronavirus crisis response manages to combine vicious cruelty with endless stupidity truly boggles the mind ,1,6,0,1233192354053488643,https://twitter.com/IbsenMalte/status/1233192354053488643,502422530,2020-02-28 00:49:03+00:00,Fri Feb 28 00:49:03 +0000 2020,#coronavirus,,,https://nymag.com/intelligencer/2020/02/trump-administration-coronavirus-budget-response.html
88,DanishFurryGame,,14th Seiyu Awards Ceremony Cancelled in Wake of Coronavirus Spread http://j.mp/32CSpxd,1,0,0,1233180166475538432,https://twitter.com/DanishFurryGame/status/1233180166475538432,3199216792,2020-02-28 00:00:37+00:00,Fri Feb 28 00:00:37 +0000 2020,,,,http://j.mp/32CSpxd
89,juliovacacelaMD,,"Las autoridades danesas han optado por ampliar de dos a seis la cantidad de hospitales que pueden aceptar infectados con coronavirus. Además, los criterios para sospechar una infección han cambiado. Inicialmente, solo Aarhus y Hvidovre analizaban los posibles casos. ",0,2,0,1233176936278564866,https://twitter.com/juliovacacelaMD/status/1233176936278564866,1117923247872446464,2020-02-27 23:47:47+00:00,Thu Feb 27 23:47:47 +0000 2020,,,,
90,grev2000,colsen38,"Havde normalt sagt Inter, men ikke med den aktuelle Coronavirus-situation. Men Man United, Wolverhampton, Sevilla, Frankfurt, Roma eller Rangers kunne alle sammen være fede",0,0,0,1233175792907169792,https://twitter.com/grev2000/status/1233175792907169792,819535266612387840,2020-02-27 23:43:14+00:00,Thu Feb 27 23:43:14 +0000 2020,,,,
91,juliovacacelaMD,,"El periodista danés afectado por el coronavirus se conectó con el canal de TV donde trabaja desde su domicilio, donde cumple la cuarentena: ""El SMS de confirmación me llegó a las 2 de la madrugada. Desde entonces no duermo. Estoy realmente cansado"". ",0,2,1,1233174990280941570,https://twitter.com/juliovacacelaMD/status/1233174990280941570,1117923247872446464,2020-02-27 23:40:03+00:00,Thu Feb 27 23:40:03 +0000 2020,,,,
92,PSkaaning,colsen38,I dag spillede Inter for tomme tribuner grundet coronavirus. Er der ikke en lille risiko for sådan noget kan fortsætte?,0,0,2,1233171869425074176,https://twitter.com/PSkaaning/status/1233171869425074176,110676255,2020-02-27 23:27:39+00:00,Thu Feb 27 23:27:39 +0000 2020,,,,
93,deborah_dk,,"Coronavirus: Mindt seks danskere skal i 14-dages isolation https://180grader.dk/sektioner/nyheder/europa/artikel/coronavirus-mindt-seks-danskere-skal-i-14-dages-isolation . #coronavirus,#danskere,#Tenerife,#italienskgæst,#isolation,#rejser,#ingensymptomer,#helbred,#sundhed,#virus ",0,0,0,1233169199331184640,https://twitter.com/deborah_dk/status/1233169199331184640,177951093,2020-02-27 23:17:02+00:00,Thu Feb 27 23:17:02 +0000 2020,#coronavirus #danskere #Tenerife #italienskg #isolation #rejser #ingensymptomer #helbred #sundhed #virus,,,https://180grader.dk/sektioner/nyheder/europa/artikel/coronavirus-mindt-seks-danskere-skal-i-14-dages-isolation
94,elladahlj,,Sygdomsudbrud retfærdiggør ikke på nogen måde racisme. Det var ikke okay da Ebola hærgede i 2014 Og det er IKKE okay nu. #coronavirus #stopracisme,0,0,0,1233167387182145542,https://twitter.com/elladahlj/status/1233167387182145542,921340644634890242,2020-02-27 23:09:50+00:00,Thu Feb 27 23:09:50 +0000 2020,#coronavirus #stopracisme,,,
95,juliovacacelaMD,,"El director de la Junta Nacional de Salud de Dinamarca, Søren Brostrøm, insiste que la gran mayoría de los pacientes de coronavirus tienen síntomas leves, pero las personas mayores y con otras enfermedades pueden complicarse. Se esperan más casos en los próximos días y semanas. ",1,2,1,1233167363513683968,https://twitter.com/juliovacacelaMD/status/1233167363513683968,1117923247872446464,2020-02-27 23:09:45+00:00,Thu Feb 27 23:09:45 +0000 2020,,,,
96,juliovacacelaMD,,Dinamarca confirma su primer caso de #coronavirus: Un periodista televisivo estuvo de vacaciones en el norte de Italia con su mujer e hijo y regresó el lunes. Desarrolló síntomas muy pronto y está en cuarentena domiciliaria. Su mujer e hijo dieron negativo. ,11,13,1,1233166002092937217,https://twitter.com/juliovacacelaMD/status/1233166002092937217,1117923247872446464,2020-02-27 23:04:20+00:00,Thu Feb 27 23:04:20 +0000 2020,#coronavirus,,,
97,Halunk2,,- Vi har vaccine om få uger.... #coronavirus #coronavirusdk #dkpol,0,0,0,1233164874395607040,https://twitter.com/Halunk2/status/1233164874395607040,826032582978568192,2020-02-27 22:59:51+00:00,Thu Feb 27 22:59:51 +0000 2020,#coronavirus #coronavirusdk #dkpol,,,https://bit.ly/2wMt48a
98,SteveGPickering,,"Trump on #coronavirus: The risk to Americans remains very low. I will retweet this in a month, to see how he called it. https://youtu.be/scx14m7K7cI via @YouTube",0,0,0,1233159722498502656,https://twitter.com/SteveGPickering/status/1233159722498502656,60674916,2020-02-27 22:39:23+00:00,Thu Feb 27 22:39:23 +0000 2020,#coronavirus,@YouTube,,https://youtu.be/scx14m7K7cI
99,DahnielOsuna,ReinaFifi,"Amiga, soy ultra súper tetra #ANTIAMLO, pero dudo mucho que se venga el fin del mundo si permiten que llegue el barco. Al #Coronavirus los están manejando como si fuese la #pestebubonica y la verdad, ni al caso. Si se muere la mitad del país, entonces si, rayenmela !",0,0,0,1233159234998521856,https://twitter.com/DahnielOsuna/status/1233159234998521856,2254313504,2020-02-27 22:37:27+00:00,Thu Feb 27 22:37:27 +0000 2020,#ANTIAMLO #Coronavirus #pestebubonica,,,
